iter	Passed	Remaining
1154	405777	2404800
1155	406134	2404483
1156	406501	2404225
1157	406943	2404410
1158	407288	2404023
1159	407636	2403647
1160	408041	2403611
1161	408370	2403128
1162	408740	2402887
1163	409104	2402611
1164	409402	2401942
1165	409823	2402003
1166	410185	2401709
1167	410546	2401417
1168	410924	2401220
1169	411254	2400742
1170	411595	2400327
1171	412004	2400313
1172	412399	2400212
1173	412815	2400235
1174	413171	2399913
1175	413498	2399418
1176	413858	2399116
1177	414220	2398823
1178	414519	2398165
1179	414906	2398019
1180	415311	2397973
1181	415652	2397561
1182	416019	2397301
1183	416347	2396813
1184	416685	2396382
1185	417067	2396201
1186	417397	2395725
1187	417758	2395431
1188	418135	2395224
1189	418505	2394976
1190	418895	2394844
1191	419256	2394545
1192	419637	2394357
1193	420064	2394436
1194	420450	2394280
1195	420798	2393904
1196	421239	2394064
1197	421587	2393686
1198	421994	2393650
1199	422371	2393436
1200	422745	2393212
1201	423137	2393087
1202	423529	2392958
1203	423904	2392737
1204	424263	2392422
1205	424646	2392245
1206	424692	2390172
1207	425049	2389847
1208	425459	2389822
1209	425835	2389607
1210	426152	2389056
1211	426538	2388894
1212	426864	2388401
1213	427255	2388269
1214	427704	2388459
1215	428079	2388234
1216	428430	2387873
1217	428811	2387681
1218	429123	2387109
1219	429504	2386919
1220	429849	2386525
1221	430273	2386575
1222	430599	2386075
1223	430954	2385742
1224	431262	2385143
1225	431646	2384968
1226	432019	2384731
1227	432388	2384475
1228	432747	2384162
1229	433110	2383867
1230	433433	2383357
1231	433808	2383129
1232	434227	2383144
1233	434586	2382827
1234	434976	2382686
1235	435342	2382407
1236	435710	2382141
1237	436095	2381967
1238	436461	2381690
1239	436831	2381433
1240	437172	2381020
1241	437548	2380799
1242	437936	2380641
1243	438292	2380309
1244	438659	2380037
1245	438984	2379533
1246	439373	2379384
1247	439694	2378860
1248	440056	2378557
1249	440406	2378195
1250	440801	2378072
1251	441154	2377725
1252	441517	2377427
1253	441857	2377007
1254	442184	2376520
1255	442560	2376298
1256	442917	2375968
1257	443249	2375508
1258	443602	2375158
1259	443976	2374919
1260	444349	2374681
1261	444708	2374364
1262	445119	2374323
1263	445545	2374362
1264	445976	2374428
1265	446125	2372991
1266	446462	2372556
1267	446845	2372370
1268	447246	2372273
1269	447289	2370280
1270	447680	2370134
1271	448125	2370273
1272	448181	2368353
1273	448567	2368183
1274	448943	2367957
1275	449352	2367903
1276	449652	2367279
1277	450039	2367110
1278	450410	2366857
1279	450753	2366456
1280	451017	2365643
1281	451437	2365645
1282	451751	2365093
1283	452173	2365108
1284	452484	2364541
1285	452872	2364375
1286	453293	2364380
1287	453706	2364345
1288	454084	2364127
1289	454496	2364086
1290	454915	2364080
1291	455334	2364073
1292	455726	2363927
1293	456082	2363590
1294	456469	2363418
1295	456863	2363281
1296	457247	2363092
1297	457573	2362602
1298	457966	2362455
1299	458204	2361517
1300	458449	2360611
1301	458684	2359651
1302	458861	2358402
1303	459013	2357022
1304	459191	2355777
1305	459341	2354390
1306	459517	2353135
1307	459735	2352103
1308	459933	2350967
1309	460121	2349779
1310	460279	2348442
1311	460412	2346980
1312	460564	2345615
1313	460701	2344178
1314	460855	2342827
1315	460998	2341426
1316	461138	2340004
1317	461274	2338572
1318	461421	2337190
1319	461544	2335693
1320	461674	2334233
1321	461856	2333037
1322	462010	2331704
1323	462145	2330276
1324	462260	2328745
1325	462397	2327333
1326	462546	2325979
1327	462694	2324620
1328	462832	2323217
1329	463046	2322194
1330	463169	2320718
1331	463313	2319349
1332	463447	2317932
1333	463581	2316516
1334	463754	2315298
1335	463917	2314032
1336	464103	2312881
1337	464278	2311675
1338	464411	2310264
1339	464564	2308953
1340	464746	2307788
1341	464889	2306436
1342	465051	2305173
1343	465199	2303844
1344	465364	2302600
1345	465512	2301278
1346	465694	2300122
1347	465839	2298788
1348	465966	2297364
1349	466146	2296200
1350	466323	2295029
1351	466471	2293712
1352	466610	2292356
1353	466775	2291127
1354	466956	2289983
1355	467112	2288715
1356	467293	2287568
1357	467454	2286325
1358	467611	2285067
1359	467728	2283614
1360	467909	2282478
1361	468087	2281323
1362	468236	2280032
1363	468402	2278827
1364	468558	2277573
1365	468690	2276200
1366	468867	2275054
1367	469007	2273725
1368	469143	2272380
1369	469311	2271192
1370	469484	2270029
1371	469657	2268868
1372	469838	2267749
1373	470002	2266545
1374	470182	2265424
1375	470349	2264241
1376	470528	2263115
1377	470700	2261958
1378	470868	2260785
1379	471027	2259567
1380	471182	2258334
1381	471337	2257098
1382	471514	2255972
1383	471708	2254931
1384	471802	2253408
1385	471971	2252250
1386	472146	2251121
1387	472321	2249993
1388	472488	2248825
1389	472607	2247436
1390	472763	2246220
1391	472945	2245133
1392	473120	2244013
1393	473301	2242921
1394	473437	2241614
1395	473582	2240357
1396	473738	2239149
1397	473927	2238102
1398	474080	2236889
1399	474229	2235654
1400	474371	2234390
1401	474530	2233203
1402	474671	2231935
1403	474821	2230715
1404	474950	2229393
1405	475131	2228320
1406	475294	2227161
1407	475451	2225979
1408	475610	2224804
1409	475775	2223660
1410	475936	2222498
1411	476121	2221451
1412	476296	2220358
1413	476453	2219179
1414	476599	2217954
1415	476763	2216817
1416	476929	2215685
1417	477112	2214636
1418	477245	2213354
1419	477374	2212059
1420	477545	2210959
1421	477734	2209943
1422	477917	2208897
1423	478084	2207781
1424	478224	2206545
1425	478396	2205453
1426	478569	2204372
1427	478758	2203360
1428	478935	2202297
1429	479113	2201242
1430	479313	2200287
1431	479504	2199291
1432	479663	2198149
1433	479869	2197226
1434	480053	2196204
1435	480260	2195283
1436	480430	2194198
1437	480603	2193131
1438	480777	2192063
1439	480949	2190990
1440	481135	2189983
1441	481326	2189002
1442	481498	2187930
